"Wavelength, Âµm",n,k
0.2066,1.01,2.909
0.2101,1.083,2.982
0.2138,1.133,3.045
0.2175,1.186,3.12
0.2214,1.247,3.206
0.2254,1.34,3.302
0.2296,1.471,3.366
0.2339,1.579,3.353
0.2384,1.589,3.354
0.2431,1.571,3.429
0.248,1.57,3.565
0.253,1.597,3.749
0.2583,1.658,3.979
0.2638,1.764,4.278
0.2695,1.988,4.678
0.2755,2.452,5.082
0.2818,3.12,5.344
0.2883,4.087,5.395
0.2952,4.888,4.639
0.3024,5.02,3.979
0.31,5.01,3.586
0.3179,5.016,3.346
0.3263,5.065,3.182
0.3351,5.156,3.058
0.3444,5.296,2.987
0.3542,5.61,3.014
0.3647,6.522,2.705
0.3757,6.709,1.32
0.3875,6.062,0.63
0.3999,5.57,0.387
0.4133,5.222,0.269
0.4275,4.961,0.203
0.4428,4.753,0.163
0.4592,4.583,0.13
0.4769,4.442,0.09
0.4959,4.32,0.073
0.5166,4.215,0.06
0.5391,4.123,0.048
0.5636,4.042,0.032
0.5904,3.969,0.03
0.6199,3.906,0.022
0.6525,3.847,0.016
0.6888,3.796,0.013
0.7293,3.752,0.01
0.7749,3.714,0.008
0.8,3.669,5.27E-03
0.81,3.662,4.86E-03
0.82,3.655,4.48E-03
0.83,3.646,4.12E-03
0.84,3.641,3.78E-03
0.85,3.636,3.46E-03
0.86,3.628,3.16E-03
0.87,3.622,2.87E-03
0.88,3.617,2.60E-03
0.89,3.613,2.35E-03
0.9,3.61,2.11E-03
0.91,3.604,1.89E-03
0.92,3.598,1.68E-03
0.93,3.597,1.48E-03
0.94,3.59,1.31E-03
0.95,3.584,1.14E-03
0.96,3.584,9.82E-04
0.97,3.578,8.41E-04
0.98,3.582,7.13E-04
0.99,3.579,5.96E-04
1,3.575,4.90E-04
1.01,3.572,3.96E-04
1.02,3.568,3.14E-04
1.03,3.565,2.40E-04
1.04,3.562,1.80E-04
1.05,3.559,1.30E-04
1.06,3.556,9.25E-05
1.07,3.553,6.78E-05
1.08,3.549,5.22E-05
1.09,3.547,3.98E-05
1.1,3.545,3.02E-05
1.11,3.542,2.29E-05
1.12,3.54,1.71E-05
1.13,3.537,1.24E-05
1.14,3.534,8.62E-06
1.15,3.533,5.69E-06
1.16,3.53,3.43E-06
1.17,3.527,1.77E-06
1.18,3.526,5.56E-07
1.19,3.524,2.32E-07
1.2,3.522,1.39E-07
1.21,3.52,8.09E-08
1.22,3.518,4.79E-08
1.23,3.517,2.71E-08
1.24,3.515,1.43E-08
1.25,3.513,5.88E-09
1.26,3.512,2.34E-09
1.27,3.509,1.27E-09
1.28,3.509,7.53E-10
1.29,3.506,4.48E-10
1.3,3.505,2.72E-10
1.31,3.503,1.59E-10
1.32,3.502,8.72E-11
1.33,3.501,4.20E-11
1.34,3.5,1.81E-11
1.35,3.499,1.04E-11
1.36,3.497,6.29E-12
1.37,3.496,3.90E-12
1.38,3.496,2.64E-12
1.39,3.496,1.74E-12
1.4,3.493,1.04E-12
1.41,3.492,6.04E-13
1.42,3.492,4.29E-13
1.43,3.49,2.04E-13
1.44,3.488,1.38E-13
1.45,3.487,1.09E-13
